Name, Type, Region
Sauce poulette, General,
Sauce Robert, Brown sauce, French
Sauce Tomate, , French
Sauce Velouté, , French
Sauce vierge, Fresh,
Sauce vin blanc, General,
Saus cabai, , Southeast Asian
Sausage gravy, Meat-based, American
Savore Sanguino, , Italian
Shacha sauce, , East Asian
Shacha, , Chinese
Shito, , African
Shottsuru, , Japanese
Shrewsbury sauce, , British
Siu haau sauce, , East Asian
Siu haau, , Chinese
Skordalia, , Greek
Sloppy Joe, Meat-based,
Sofrito, General, Puerto Rican
Soubise sauce, , French
Sour cream sauce, General,
Soy sauce, , Chinese
Sriracha sauce, Hot, Thai
Ssamjang, , East Asian
Steak sauce, General,
Strawberry sauce, Sweet,
Sugo all'amatriciana, , Italian
Sugo alla puttanesca, , Italian
Suprême sauce, White,
Sweet and sour sauce, , East Asian
Sweet and sour, , Chinese
Sweet bean sauce, , Chinese
Sweet chili sauce, General, Thai
Sweet soy sauce, , Indonesian
Syrup, Sweet,
Tabasco sauce, Hot,
Taramasalata, , Greek
Tare sauce, , Japanese
Tartar sauce, Emulsified,
Tentsuyu, , East Asian
Teriyaki, , East Asian
Tewkesbury mustard, , British
Tianmianjiang, , East Asian
Tkemali, Fresh, Georgian
Tkemali, Sweet,
Tomato sauce, General,
Tonkatsu sauce, , Japanese
Toum, , Middle Eastern
Tuco, , Uruguayan
Tucupi, , Brazilian
Tzatziki, , Greek
Tương, , Southeast Asian
Umeboshi paste, , Japanese
Velouté sauce, White,
Venetian sauce, , French
Vinagrete, , Brazilian
Vinaigrette, General,
Vincotto, , Italian
Vizcaína, , Basque
Vodka sauce, , Italian
Whisky sauce, , British
White sauce, , British
Wine sauce, General,
Worcestershire sauce, General, British
Wow-Wow sauce, , British
Xató, , Catalan
XO sauce, , East Asian
Yogurt sauce, White,
Zabaione, Sweet,
Zigeuner sauce, , Belgian
